price,parkir,kamar,kamar_mandi,luas_bangunan,luas_lahan,price_per_m2,log_price,log_price_per_m2,Kitchen set_yes,Taman_yes,Halaman terbuka_yes,Pagar penuh_yes,Garasi_yes,Keamanan 24 jam_yes,kota_Jakarta Pusat,kota_Jakarta Selatan,kota_Jakarta Timur,kota_Jakarta Utara,kecamatan_Cempakaputih,kecamatan_Cengkareng,kecamatan_Cilandak,kecamatan_Cilincing,kecamatan_Cipayung,kecamatan_Ciracas,kecamatan_Durensawit,kecamatan_Gambir,kecamatan_Grogolpetamburan,kecamatan_Jagakarsa,kecamatan_Jatinegara,kecamatan_Joharbaru,kecamatan_Kalideres,kecamatan_Kebayoranbaru,kecamatan_Kebayoranlama,kecamatan_Kebonjeruk,kecamatan_Kelapagading,kecamatan_Kemayoran,kecamatan_Kembangan,kecamatan_Koja,kecamatan_Kramatjati,kecamatan_Makasar,kecamatan_Mampangprapatan,kecamatan_Matraman,kecamatan_Menteng,kecamatan_Pademangan,kecamatan_Palmerah,kecamatan_Pancoran,kecamatan_Pasarminggu,kecamatan_Pasarrebo,kecamatan_Penjaringan,kecamatan_Pesanggrahan,kecamatan_Pulogadung,kecamatan_Sawahbesar,kecamatan_Senen,kecamatan_Setiabudi,kecamatan_Tamansari,kecamatan_Tambora,kecamatan_Tanahabang,kecamatan_Tanjungpriok,kecamatan_Tebet
876900000.0,1.0,3,2,88.0,82.0,9964772.727272727,20.591903518749586,16.11456670427138,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2200000000.0,1.0,3,3,206.0,113.0,10679611.650485437,21.51172319731068,16.1838470285211,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1200000000.0,1.0,2,2,86.0,60.0,13953488.372093024,20.905587393740365,16.45124009748686,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1500000000.0,1.0,2,2,96.0,68.0,15625000.0,21.128730945054574,16.564382753586738,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1400000000.0,1.0,3,2,65.0,72.0,21538461.53846154,21.059738073567623,16.885350803671987,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1699000000.0,2.0,4,3,140.0,108.0,12135714.285714285,21.253305679636206,16.3116632570269,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1330000000.0,1.0,2,2,60.0,87.0,22166666.666666668,21.008444779180074,16.914100216957973,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
999000000.0,1.0,2,2,53.0,15.0,18849056.603773586,20.72226533661283,16.751973423060704,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1600000000.0,2.0,2,1,55.0,100.0,29090909.09090909,21.193269466192145,17.185936280959677,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1350000000.0,1.0,2,2,100.0,128.0,13500000.0,21.02337042939675,16.41820024340866,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1450000000.0,1.0,4,4,130.0,140.0,11153846.153846154,21.094829393378895,16.22729494292331,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1150000000.0,1.0,4,3,126.0,42.0,9126984.126984127,20.86302777932157,16.026745872370093,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3050000000.0,1.0,4,4,352.0,176.0,8664772.727272727,21.83840742756573,15.974776251967635,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1700000000.0,1.0,4,3,125.0,80.0,13600000.0,21.253894088008582,16.42558035070628,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
750000000.0,1.0,3,2,78.0,78.0,9615384.615384616,20.43558376449463,16.07887493780504,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2650000000.0,2.0,4,2,150.0,90.0,17666666.666666668,21.69782547694454,16.687190182848287,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1600000000.0,1.0,4,2,300.0,120.0,5333333.333333333,21.193269466192145,15.489486991535946,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10000000000.0,2.0,4,5,253.0,256.0,39525691.69960474,23.025850929940457,17.492461441212935,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2300000000.0,1.0,4,4,9.0,90.0,255555555.55555555,21.556174959881517,19.358950382545295,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1800000000.0,1.0,3,2,100.0,90.0,18000000.0,21.31105250184853,16.70588231586044,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3500000000.0,2.0,5,3,170.0,185.0,20588235.29411765,21.97602880544178,16.840230368391516,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
600000000.0,2.0,3,2,50.0,60.0,12000000.0,20.21244021318042,16.300417207752275,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
